# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Virox ProBeauty Rejuvenate (USA)
# Property: Prevention Disinfectants
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241127
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,27368,9866,0.3604940076001169,26.10450160771704,5.2554077755042385,143830,0,0,0
Display,12987,2270,0.17479017479017478,5.53915453915454,3.4686224686224687,45047,0,0,0
Referral,11834,2386,0.20162244380598277,66.89749873246578,5.4852966030082815,64913,0,0,0
Direct,9769,4590,0.4698536185894155,169.94288054048522,7.3083222438325315,71395,0,0,0
Organic Search,6540,4224,0.6458715596330276,96.42278287461774,6.801376146788991,44481,0,0,0
Unassigned,4847,884,0.18238085413657934,112.87621208995255,9.427480916030534,45695,0,0,0
Email,4677,2170,0.46397263202907846,98.00748342954886,6.0598674363908485,28342,0,0,0
Organic Social,4582,686,0.14971628109995636,3.9426014840680925,3.551069402007857,16271,0,0,0
Paid Social,1794,164,0.09141583054626533,1.9425863991081382,3.3968784838350055,6094,0,0,0
Paid Video,969,162,0.16718266253869968,5.340557275541796,3.3199174406604746,3217,0,0,0
Organic Video,12,6,0.5,254.08333333333334,11.916666666666666,143,0,0,0
Paid Other,9,4,0.4444444444444444,18.22222222222222,4.777777777777778,43,0,0,0
Organic Shopping,5,2,0.4,7.6,4,20,0,0,0
