# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Virox ProBeauty Rejuvenate (USA)
# Property: Prevention Disinfectants
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251127
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,15783,5924,0.3753405562947475,39.6064753215485,4.594183615282266,72510,0,0,0
Direct,13002,6017,0.46277495769881555,241.1796646669743,8.633364097831103,112251,0,0,0
Display,7231,1265,0.17494122528004424,5.263310745401743,3.392200248928226,24529,0,0,0
Organic Search,5604,3715,0.6629193433261956,136.79157744468236,7.2453604568165595,40603,0,0,0
Paid Video,4557,1208,0.2650866798332236,8.82642089093702,3.4544656572306343,15742,0,0,0
Paid Social,3307,389,0.11762927124281826,2.749017236165709,3.3241608708799517,10993,0,0,0
Referral,3023,1752,0.5795567317234536,145.1283493218657,7.581872312272577,22920,0,0,0
Email,2114,883,0.4176915799432356,96.03784295175024,5.989593188268685,12662,0,0,0
Unassigned,1015,237,0.2334975369458128,172.54581280788176,11.43743842364532,11609,0,0,0
Organic Social,730,431,0.5904109589041096,16.484931506849314,4.49041095890411,3278,0,0,0
Cross-network,300,175,0.5833333333333334,21.476666666666667,4.69,1407,0,0,0
Paid Other,20,0,0,0.3,3.05,61,0,0,0
Organic Video,4,3,0.75,68.75,7.75,31,0,0,0
Organic Shopping,2,2,1,5.5,4,8,0,0,0
